Smol Croxy,Price,Source,,Alt
,,,,
Frame,,,,
"*ALL PRICES ROUNDED UP, BUT SHIPPING NOT FACTORED",,,,
,,,,
Motion,,,,
GT2 6mm wide Belt 4 meters,free,Use old stuff i have,,
4 - 20 Tooth 5mm Bore Pulley ,$7.00,https://s.click.aliexpress.com/e/_DmbhjDN,y,
4 - 20 Tooth 5mm Bore idler,$9.00,https://www.amazon.com/WINSINN-Aluminum-Timing-Pulley-Printer/dp/B07BPGYX3G?crid=8EP1SFR0RDSH&dib=eyJ2IjoiMSJ9.0kTc5r4tPhn5ZL8zZnP4y9pBSMDqPmxn-zvb00Xp_W8D156t7F8z7MhThEQmoDrgLUaOADiXhDzETYKfvpOpKPScaF_T2dIn8klYUE0qvkXJLNeLkN90jkSwiqfdxb-MtmsxJtTXNpPdCRfi9-R_nfwCt-PXi-520__mqPClFQ_jBKUYatddXA3pm8Gb-y3QO8aZo3eKd5o84EjGa8wA3ZZwAzJ4EHEBcZGLZ1F_eXk.smaQrmfrlbEzJMedkMovkb5pOwf7J3NwMIewT5MSXEE&dib_tag=se&keywords=gt2%2Bidler%2Bpulley%2B6mm&qid=1749630403&sprefix=gt2%2Bidle%2Caps%2C109&sr=8-1&th=1,y,
6 - Gantry mgn 9 200mm,$60.00,https://www.amazon.com/ONLISUM-Bearing-Sliding-Carriage-Printer/dp/B0D5MDYRQG?gQT=2&th=1,y,
2 - 8mm Linear Rod 200mm length,$10.00,https://www.aliexpress.us/item/3256807678401272.html?,,
